cID,countryname,continent,year,l_yield,temp
1,"Afghanistan","AS",1961,.0045025,-7.103316
1,"Afghanistan","AS",1962,-.0872811,-7.030643
1,"Afghanistan","AS",1963,-.1834202,-5.945569
1,"Afghanistan","AS",1964,-.1023914,-7.927584
1,"Afghanistan","AS",1965,-.1018182,-6.591636
1,"Afghanistan","AS",1966,-.1694657,-6.486285
1,"Afghanistan","AS",1967,-.0480491,-7.076878
1,"Afghanistan","AS",1968,.0160175,-6.964844
1,"Afghanistan","AS",1969,-.0011052,-7.531975
1,"Afghanistan","AS",1970,-.148775,-6.146354
1,"Afghanistan","AS",1971,-.344601,-5.648985
1,"Afghanistan","AS",1972,-.3139007,-8.478741
1,"Afghanistan","AS",1973,-.0452162,-6.766896
1,"Afghanistan","AS",1974,-.1120315,-7.358923
1,"Afghanistan","AS",1975,-.1018412,-7.193557
1,"Afghanistan","AS",1976,-.0608277,-6.823714
1,"Afghanistan","AS",1977,-.1592792,-6.215053
1,"Afghanistan","AS",1978,-.1435196,-6.453571
1,"Afghanistan","AS",1979,-.0940827,-6.481947
1,"Afghanistan","AS",1980,-.1384985,-6.139731
1,"Afghanistan","AS",1981,-.1779069,-6.309018
1,"Afghanistan","AS",1982,-.1933164,-7.13144
1,"Afghanistan","AS",1983,-.1615959,-6.446601
1,"Afghanistan","AS",1984,-.2116694,-6.675819
1,"Afghanistan","AS",1985,-.2631217,-5.924348
1,"Afghanistan","AS",1986,-.2920474,-6.580163
1,"Afghanistan","AS",1987,-.2313854,-6.238096
1,"Afghanistan","AS",1988,-.3459257,-5.811654
1,"Afghanistan","AS",1989,-.3744428,-7.147373
1,"Afghanistan","AS",1990,-.4120179,-6.570093
1,"Afghanistan","AS",1991,-.4613124,-7.110077
1,"Afghanistan","AS",1992,-.4691188,-6.999822
1,"Afghanistan","AS",1993,-.5117601,-6.896199
1,"Afghanistan","AS",1994,-.4882183,-6.611657
1,"Afghanistan","AS",1995,-.4983714,-6.869178
1,"Afghanistan","AS",1996,-.5058665,-6.770669
1,"Afghanistan","AS",1997,-.3552121,-6.685113
1,"Afghanistan","AS",1998,-.3525463,-6.942073
1,"Afghanistan","AS",1999,-.4303338,-6.171884
1,"Afghanistan","AS",2000,-.8842705,-6.110163
1,"Afghanistan","AS",2001,-.7081652,-5.801824
1,"Afghanistan","AS",2002,-.1949752,-6.14563
1,"Afghanistan","AS",2003,-.3667324,-6.441047
1,"Afghanistan","AS",2004,-.4754612,-5.493312
1,"Afghanistan","AS",2005,-.1771786,-6.397833
1,"Afghanistan","AS",2006,-.3337503,-5.639432
1,"Afghanistan","AS",2007,-.0993755,-6.225619
1,"Afghanistan","AS",2008,-.4905238,-6.087862
2,"Albania","EU",1961,-.2726233,-6.737186
2,"Albania","EU",1962,-.2232917,-6.639685
2,"Albania","EU",1963,-.186977,-6.593463
2,"Albania","EU",1964,-.158909,-7.032012
2,"Albania","EU",1965,-.1595121,-7.173598
2,"Albania","EU",1966,.0948799,-6.776156
2,"Albania","EU",1967,.1306595,-6.965502
2,"Albania","EU",1968,.2039543,-6.91301
2,"Albania","EU",1969,.2231366,-6.977011
2,"Albania","EU",1970,.2497884,-7.064106
2,"Albania","EU",1971,.2412602,-6.958593
2,"Albania","EU",1972,.2495672,-7.052384
2,"Albania","EU",1973,.3196548,-7.361229
2,"Albania","EU",1974,.2839412,-7.019665
2,"Albania","EU",1975,.330828,-7.195457
2,"Albania","EU",1976,.5239692,-7.451228
2,"Albania","EU",1977,.5747291,-6.75397
2,"Albania","EU",1978,.5636948,-7.543988
2,"Albania","EU",1979,.5942556,-7.010195
2,"Albania","EU",1980,.4224928,-7.704288
2,"Albania","EU",1981,.4472581,-7.267391
2,"Albania","EU",1982,.5201831,-6.903232
2,"Albania","EU",1983,.6479567,-7.649507
2,"Albania","EU",1984,.5873891,-7.236211
2,"Albania","EU",1985,.5153803,-6.975105
2,"Albania","EU",1986,.5302168,-6.884138
2,"Albania","EU",1987,.5483964,-7.169565
2,"Albania","EU",1988,.4588238,-7.050644
2,"Albania","EU",1989,.4982273,-7.247059
2,"Albania","EU",1990,.4327425,-7.021733
2,"Albania","EU",1991,.1181683,-7.794549
